State,Population
Andaman and Nicobar Islands,417036
Andhra Pradesh,53903393
Arunachal Pradesh,1570458
Assam,35607039
Bihar,124799926
Chandigarh,1158473
Chhattisgarh,29436231
Dadra and Nagar Haveli and Daman and Diu,615724
Delhi,18710922
Goa,1586250
Gujarat,63872399
Haryana,28204692
Himachal Pradesh,7451955
Jammu and Kashmir,13606320
Jharkhand,38593948
Karnataka,67562686
Kerala,35699443
Ladakh,289023
Lakshadweep,73183
Madhya Pradesh,85358965
Maharashtra,123144223
Manipur,3091545
Meghalaya,3366710
Mizoram,1239244
Nagaland,2249695
Odisha,46356334
Puducherry,1413542
Punjab,30141373
Rajasthan,81032689
Sikkim,690251
Tamil Nadu,77841267
Telangana,38510982
Tripura,4169794
Uttar Pradesh,237882725
Uttarakhand,11250858
West Bengal,99609303
